Cellline	Conc	Viability
U87	0	0.980548211
U87	100	0.940311416
U87	200	0.860713453
U87	300	0.753123781
U87	400	0.688020283
U87	500	0.64503501
U87	600	0.475878677
U87	700	0.46438273
U87	800	0.423934136
U87	900	0.35583114
U87	1000	0.245832262
U87	0	0.957430807
U87	100	0.794110697
U87	200	0.830098777
U87	300	0.819101929
U87	400	0.785987835
U87	500	0.55469024
U87	600	0.49199889
U87	700	0.454386041
U87	800	0.417273272
U87	900	0.324217286
U87	1000	0.351067637
U87	0	1.062020982
U87	100	0.977631081
U87	200	0.816352472
U87	300	0.720009688
U87	400	0.594801526
U87	500	0.543943432
U87	600	0.616045103
U87	700	0.570934982
U87	800	0.435392822
U87	900	0.380918466
U87	1000	0.338924528
U87TR	0	1.047295086
U87TR	100	1.025422074
U87TR	200	0.988900379
U87TR	300	0.921958737
U87TR	400	0.933744834
U87TR	500	0.886257548
U87TR	600	0.882084602
U87TR	700	0.804494753
U87TR	800	0.70735972
U87TR	900	0.679590087
U87TR	1000	0.567536952
U87TR	1200	0.465583998
U87TR	1400	0.415507628
U87TR	1600	0.403708265
U87TR	1800	0.367085537
U87TR	2000	0.305471059
U87TR	0	1.008657833
U87TR	100	1.00267753
U87TR	200	0.8693637
U87TR	300	0.970553297
U87TR	400	1.017084347
U87TR	500	0.998048407
U87TR	600	0.94472063
U87TR	700	0.902771759
U87TR	800	0.789558281
U87TR	900	0.77818958
U87TR	1000	0.726429337
U87TR	1200	0.644910449
U87TR	1400	0.576486997
U87TR	1600	0.480529655
U87TR	1800	0.376870376
U87TR	2000	0.326937901
U87TR	0	0.94404708
U87TR	100	0.949688568
U87TR	200	1.057074822
U87TR	300	0.955616825
U87TR	400	0.962120661
U87TR	500	0.909607266
U87TR	600	0.947408705
U87TR	700	0.915627371
U87TR	800	0.886181518
U87TR	900	0.707903662
U87TR	1000	0.653041008
U87TR	1200	0.536957801
U87TR	1400	0.430689028
U87TR	1600	0.448531968
U87TR	1800	0.399534298
U87TR	2000	0.385889817
U251	0	0.861508786
U251	100	0.92360238
U251	200	0.904226327
U251	300	0.773797076
U251	400	0.693953142
U251	500	0.617489974
U251	600	0.553966258
U251	700	0.480949054
U251	800	0.445903699
U251	900	0.414954171
U251	1000	0.400455256
U251	0	1.086930751
U251	100	0.96040279
U251	200	0.90526632
U251	300	0.763914511
U251	400	0.645838993
U251	500	0.602860665
U251	600	0.596683799
U251	700	0.502080162
U251	800	0.445903699
U251	900	0.389012175
U251	1000	0.283856128
U251	0	1.051560463
U251	100	0.938491424
U251	200	0.885240402
U251	300	0.777958101
U251	400	0.641677968
U251	500	0.652861314
U251	600	0.617620368
U251	700	0.537952044
U251	800	0.455526529
U251	900	0.456502377
U251	1000	0.315065391
U251TR	0	1.106567915
U251TR	100	1.064154513
U251TR	200	0.980223631
U251TR	300	0.980223631
U251TR	400	1.074780478
U251TR	500	0.982634249
U251TR	600	0.918945821
U251TR	700	0.739471711
U251TR	800	0.688406067
U251TR	900	0.687028983
U251TR	1000	0.691619262
U251TR	1200	0.471062641
U251TR	1400	0.526259536
U251TR	1600	0.425047266
U251TR	1800	0.36911612
U251TR	2000	0.369230636
U251TR	0	0.931109577
U251TR	100	0.944522428
U251TR	200	0.909306236
U251TR	300	0.857438015
U251TR	400	0.84515878
U251TR	500	1.000879884
U251TR	600	0.787667709
U251TR	700	0.901043735
U251TR	800	0.819225151
U251TR	900	0.779405208
U251TR	1000	0.678537449
U251TR	1200	0.648586124
U251TR	1400	0.466013335
U251TR	1600	0.445243529
U251TR	1800	0.325441113
U251TR	2000	0.232604898
U251TR	0	0.962322508
U251TR	100	0.90919172
U251TR	200	0.843897175
U251TR	300	0.888879978
U251TR	400	0.813257789
U251TR	500	0.821290295
U251TR	600	0.795356666
U251TR	700	0.720881564
U251TR	800	0.74245491
U251TR	900	0.761963112
U251TR	1000	0.727536987
U251TR	1200	0.592816647
U251TR	1400	0.457980829
U251TR	1600	0.449328588
U251TR	1800	0.471118456
U251TR	2000	0.27208033
